Trader Address,type,modes,file_thumb_path,setup,tagname,file_path,performance,days_traded_long_only,date_updated,PNL,PNLMonth,sharpe_ratio_short_only,sharpe_ratio_normal,ACCValue,calmar_ratio_short_only,officialR,equilibrium,calmar_ratio_normal,days_traded_short_only,sharpe_ratio_long_only,rating,calmar_ratio_long_only,days_traded_normal,available,MaxACCValue,information_ratio_normal,downside_capture_ratio_normal,calmar_divergence_normal,trade_type_proportion_ratio,trade_type_proportion_ratio_duplicated_0,sharpe_ratio_long_only_duplicated_0,trade_type_proportion_ratiosharpe_ratio_long_only,gittins_index_normal,gittins_index_short_only,gittins_index_long_only
0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,hl,"","","",; PNL:15700554.470001,"",0.0,0.0,1745350818.946823,15700554.470001,1900389.725411,0.0,0.0,600000.000001,0.0,1704277.77548108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,134262161.740549,,,,0.0,,,,,,
0x1e771e1b95c86491299d6e2a5c3b3842d03b552e,hl,"[""normal""]",/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0x1e771e1b95c86491299d6e2a5c3b3842d03b552e_hl_; PNL:3579872.673125_graph.jpeg,"[{""Trader Address"": ""0x1e771e1b95c86491299d6e2a5c3b3842d03b552e"", ""tagname"": ""; PNL:3579872.673125"", ""type"": ""hl""}]",; PNL:3638694.817026,/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0x1e771e1b95c86491299d6e2a5c3b3842d03b552e_hl_; PNL:3579872.673125.csv,342904370293.99713,35046251996.80501,1754158761.2167196,3638694.817026,1363429.842575,-1.623576946940067,0.2074752354356347,4548136.927026,-0.4058560820181687,1035593.00699756,0.0,0.1546180037143987,45327889315.74975,0.6774822186727438,1895216967.8751175,0.3261563670898037,135286248081.99953,true,4784162.095975,-0.3493882997433124,-24.51290513486284,-0.19433139350194883,0.5390924083743497,,,,,,
0x2025137a136bea7446deba681cbfc7cf1970840e,hl,"[""normal""]",/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0x2025137a136bea7446deba681cbfc7cf1970840e_hl_; PNL:4744852.784324_graph.jpeg,"[{""Trader Address"": ""0x2025137a136bea7446deba681cbfc7cf1970840e"", ""tagname"": ""; PNL:4744852.784324"", ""type"": ""hl""}]",; PNL:6086614.788813,/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0x2025137a136bea7446deba681cbfc7cf1970840e_hl_; PNL:4744852.784324.csv,0.0,7256271773.147614,1753735055.2853155,6086614.788813,3505700.399803,-13.357938400925457,-2.894176424262917,5740502.528813,-0.8640736198042589,598520.83051744,0.0,-0.9336742395048785,6823146032.901969,5.071089868370676,0.0,1.1146436664715338,60586110438.26732,true,7054695.694625,-3.3836132030756714,-78.66370649086865,-3.766187025236815,0.7275006906733427,,,,,,
0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,hl,"[""normal""]",/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0xa87a233e8a7d8951ff790a2e39738086cb5f71b7_hl_; PNL:22062182.710954_graph.jpeg,"[{""Trader Address"": ""0xa87a233e8a7d8951ff790a2e39738086cb5f71b7"", ""tagname"": ""; PNL:22062182.710954"", ""type"": ""hl""}]",; PNL:12097355.574892,/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0xa87a233e8a7d8951ff790a2e39738086cb5f71b7_hl_; PNL:22062182.710954.csv,22753366619910.48,0.0,1752399320.506592,12097355.574892,-9447358.988237,1.184710447654237,0.8526872309196526,28252181.964892,0.6115248002850753,4.1597812,0.0,0.9865913346453788,112064708249.87685,0.0,2976775363.86525,0.0,375982512880.7568,true,38114031.211425,0.05487804727105657,-94.03344432438503,-0.18326753010393493,0.0,,,,,,
0x76c2164fc79492401db1890db0d17d16b9155aa0,hl,"[""normal""]",/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0x76c2164fc79492401db1890db0d17d16b9155aa0_hl_; PNL:-2668833.427595_graph.jpeg,"[{""Trader Address"": ""0x76c2164fc79492401db1890db0d17d16b9155aa0"", ""tagname"": ""; PNL:-2668833.427595"", ""type"": ""hl""}]",; PNL:-2668833.427595,/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0x76c2164fc79492401db1890db0d17d16b9155aa0_hl_; PNL:-2668833.427595.csv,0.0,10965811450.401354,1755485826.184027,-2668833.427595,-4530818.973994,-3.8815033025579053,-1.389357445405841,15275216.222405,-0.7638261297456416,0.0,0.0,-0.8117824735859823,28035530346.088924,-4.331173517751618,0.0,-0.7795320238657667,45607501854.44887,true,20103931.295249,-1.887625283932022,-77.73104685970674,-3.762657275365088,-0.422275087623002,,,,,,
0x28233e5edddfc9f71f0cecf58ca98f6a2ca11f43,hl,"[""normal""]",/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0x28233e5edddfc9f71f0cecf58ca98f6a2ca11f43_hl_; PNL:1013981.338747_graph.jpeg,"[{""Trader Address"": ""0x28233e5edddfc9f71f0cecf58ca98f6a2ca11f43"", ""tagname"": ""; PNL:1013981.338747"", ""type"": ""hl""}]",; PNL:173840.358105,/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0x28233e5edddfc9f71f0cecf58ca98f6a2ca11f43_hl_; PNL:1013981.338747.csv,0.0,4228918689.3516164,1752352850.8600812,173840.358105,-925046.618843,-5.087750415602739,-3.509848243685984,1196662.418105,-0.7567362820023339,1.02728709,0.0,-0.9371721546104357,8373503982.719708,3.948742973074325,0.0,0.6891192444663683,65358998760.66297,true,1849044.859734,-3.5370142588323574,-65.82850285158798,-2.973885939417685,0.10400993530375578,,,,,,
0xa581bb0ac1a7ec393e76ccd45de2bfff6146e213,hl,"[""normal""]",/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0xa581bb0ac1a7ec393e76ccd45de2bfff6146e213_hl_; PNL:971534.879505_graph.jpeg,"[{""Trader Address"": ""0xa581bb0ac1a7ec393e76ccd45de2bfff6146e213"", ""tagname"": ""; PNL:971534.879505"", ""type"": ""hl""}]",; PNL:1104176.566236,/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0xa581bb0ac1a7ec393e76ccd45de2bfff6146e213_hl_; PNL:971534.879505.csv,0.0,9793116409.78318,1751989657.4250038,1104176.566236,111070.416664,-1.689659963214752,-0.3299371210283832,1287143.216236,-0.3528492113776638,241.46787602,0.0,-0.24355960174105015,15674441552.568611,1.2104699905646552,0.0,0.33892525679443275,87560858572.34242,true,2139927.899912,-0.013867614223012716,-171.4439213167484,-1.0107379171339315,0.0077514990910152685,,,,,,
0x5a54ad9860b08aaee07174887f9ee5107b0a2e72,hl,"[""normal""]",/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0x5a54ad9860b08aaee07174887f9ee5107b0a2e72_hl_; PNL:376104.16523_graph.jpeg,"[{""Trader Address"": ""0x5a54ad9860b08aaee07174887f9ee5107b0a2e72"", ""tagname"": ""; PNL:376104.16523"", ""type"": ""hl""}]",; PNL:13446.12837,/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0x5a54ad9860b08aaee07174887f9ee5107b0a2e72_hl_; PNL:376104.16523.csv,0.0,0.0,1754026892.3099127,13446.12837,-3527158.082635,-3.2938618417650916,-4.374414959238215,1959376.17837,-0.7230681248037918,0.00221134,0.0,-0.9727956159740578,5809823933.988604,0.0,0.0,0.0,53181887474.78087,true,9523495.466288,-5.113558518160975,-11.19351489704177,-4.648024446523262,0.3415950602512526,,,,,,
0x8e80c4b533dd977cf716b5c24fd9223129272804,hl,"[""normal""]",/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0x8e80c4b533dd977cf716b5c24fd9223129272804_hl_; PNL:3794382.415887_graph.jpeg,"[{""Trader Address"": ""0x8e80c4b533dd977cf716b5c24fd9223129272804"", ""tagname"": ""; PNL:3794382.415887"", ""type"": ""hl""}]",; PNL:5242907.873718,/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0x8e80c4b533dd977cf716b5c24fd9223129272804_hl_; PNL:3794382.415887.csv,0.0,6137675099.796618,1752569451.9283738,5242907.873718,2765022.827328,-7.503144522324435,-1.3103598693233962,4782278.783718,-0.6051057192678275,4105861.82328383,0.0,-0.486682740282821,7214850596.505485,7.156911151598202,0.0,1.1549296696804414,83180404399.54852,true,4937163.416481,-4.827038754892495,35.85208170245179,-2.3715933570845595,0.9947947696028933,,,,,,
0x3fc56e944aa7b1594c85861b2d46a07f82a2c0c1,hl,"[""normal""]",/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0x3fc56e944aa7b1594c85861b2d46a07f82a2c0c1_hl_; PNL:2008636.175094_graph.jpeg,"[{""Trader Address"": ""0x3fc56e944aa7b1594c85861b2d46a07f82a2c0c1"", ""tagname"": ""; PNL:2008636.175094"", ""type"": ""hl""}]",; PNL:2066123.105133,/root/minimalTesting/detailed_analysis/my_data/data/caches/renders/0x3fc56e944aa7b1594c85861b2d46a07f82a2c0c1_hl_; PNL:2008636.175094.csv,0.0,93228371.46623278,1752003742.770684,2066123.105133,-89999.401446,-2.5406947720305935,-1.0611521218548232,10322374.755133,-0.4213405487705394,0.73921389,0.0,-0.3048916477264049,7773066155.910901,-0.06308870416179431,0.0,-0.009867467842497339,78659081532.93187,true,14473666.425677,-2.033893368966414,-70.75989963145719,-2.402693049061173,0.01732820904173915,,,,,,
