Trader Address,perpDay_Sharpe,perpDay_Calmar,perpDay_PNL,perpDay_length,perpWeek_Sharpe,perpWeek_Calmar,perpWeek_PNL,perpWeek_length,perpMonth_Sharpe,perpMonth_Calmar,perpMonth_PNL,perpMonth_length,perpAllTime_Sharpe,perpAllTime_Calmar,perpAllTime_PNL,perpAllTime_length,day_Sharpe,day_Calmar,day_PNL,day_length,week_Sharpe,week_Calmar,week_PNL,week_length,month_Sharpe,month_Calmar,month_PNL,month_length,allTime_Sharpe,allTime_Calmar,allTime_PNL,allTime_length,ACCValue,MaxACCValue,performance,metrics,rating_normal,performance_perp,metrics_perp,rating_perp,rating
0x349bd094209d50280dfaca12779576c748395c15,12.61469043,1.10501031,289462.25063100,1082,14.27000799,1.05765943,346275.03847200,1252,12.52357492,1.76918014,447490.38708300,867,16.76341628,1.97462147,1372844.23874200,577,26.60992608,2.02091758,477177.90492500,1080,20.20180776,2.25035669,951844.70636500,1245,14.07470484,1.88565623,834043.55929500,886,38.45192093,5.21171220,3553338.69724500,562,2011632.49724500,2793661.78102500,182632202.07663262,47.51923521,642181.98791710,10859054.38987736,38.56152704,127072.10606745,285663.11922124
0x397a1e5049e06e30ebbf0e90a1724425eae3a85b,2.44561153,0.14023418,7582.26194300,1048,-4.78860898,-0.28975561,-12901.77405900,1227,-3.34304241,-0.17424135,-6600.50697500,851,22.31964001,2.68859467,77347.10596700,574,7.51769084,0.52802135,31703.27635800,1041,-0.40087201,-0.02310051,-1003.18376700,1214,4.47403783,0.15035601,5209.36954900,837,24.00464667,3.06928944,88990.02632900,568,47201.85632900,452728.33299300,4233.33036910,17.44177157,1134.83226642,6.60727754,12.24355640,31.47160277,188.98410065
0x7b1750a0c90204694125ec7525ed7d38f5f8a258,-9.96744939,-0.52032636,-7153.10880200,1007,0.94594039,0.13111814,2601.28492100,1149,-3.52855106,-0.29736037,-5640.07932800,908,-7.00209692,-0.42033933,-13907.02709700,551,11.60620364,0.91449978,29400.66961700,1007,16.21826160,1.91082943,77375.34273900,1181,6.10938161,0.80088410,43266.48856100,909,29.13643721,3.40824843,257133.26500300,538,245785.69500300,276643.89074000,29500010.41463530,24.14531638,131142.65903093,0.00000000,0.00000000,0.00000000,80.97612581
0x5dd0cf7cd7331c4114d3355eb5cb3257f3a7c123,-100.00000000,-100.00000000,0.00000000,1008,-100.00000000,-100.00000000,0.00000000,1184,-100.00000000,-100.00000000,0.00000000,889,-1.18684095,-1.00000000,-0.15650900,630,0.31671403,0.01630656,2681.69238900,1008,18.50049425,1.16077993,156816.92047200,1184,13.85919660,1.30814719,187427.40699700,889,48.37344890,3.12142706,416707.34314400,630,513807.92314400,604357.29543400,46465457.47696862,28.41026257,193660.19116509,0.00000000,0.00000000,0.00000000,98.40228431
0x9b69c44e65ecd8ab4542fa7f39feb14c328f5f64,2.64587640,0.28145726,72907.92697200,1035,1.20170952,0.15015098,35819.96728800,1156,8.29400595,0.64054573,122097.41744700,911,5.55339631,0.75860496,131082.11286700,640,4.23888015,0.27855434,72902.68055900,1035,2.00562428,0.13311116,35820.37390800,1188,6.78832964,0.57787683,112564.92268900,915,-17.76409800,-0.48127841,-445386.22007100,656,156783.83992900,1554048.17397400,0.00000000,0.00000000,0.00000000,14055.35814455,21.47676771,2546.18454686,0.00000000
0x194a3c3dea1c9e90f164109fecc649767dc99870,1.72402688,0.11456294,4257.53044400,1004,16.76135153,1.23513177,36609.39630300,1176,-0.22310154,-0.02655415,-2121.39061300,898,-8.41765515,-0.44817185,-59716.20800400,642,1.72288922,0.11448346,4254.85610400,1004,16.76005142,1.23505180,36607.05704000,1176,-0.22333866,-0.02658223,-2123.63489000,898,11.42026986,0.77231034,80758.65103500,619,158338.29103500,437595.86198300,427.99512536,12.80635067,264.93833406,0.00000000,0.00000000,0.00000000,3.63963140
0x862dd8e68f30693e3d3c9daa42a440bc6d2a1f0c,20.00092507,1.01088637,25778.22984300,1077,24.86907059,2.35134244,55107.14322700,1251,27.64868717,2.67934630,55863.71034000,913,15.51899041,0.56404922,28901.03331900,592,-3.11360782,-0.15679302,-118174.51551400,1074,3.83712306,0.31787482,257980.92759900,1249,9.41123039,0.98739268,701578.81697400,914,34.27315371,3.71143578,2338307.08565000,595,2408891.00565000,2783850.28233800,12393253.60130987,43.71365473,153889.78256199,1894307.75466619,16.82871990,23162.01563901,59702.57574331
0xe02b82fdbcc4b090f3ad58ad1e22f7c6a5bbfa83,-5.64983135,-0.49876091,-2308.12215500,1056,-12.73187236,-0.64173410,-2023.23172000,1203,-3.66270360,-0.56657408,-2322.48403800,840,-2.09542876,-0.36722670,-1679.73000000,623,-3.48794162,-0.15402929,-35773.71551400,1045,8.91622042,0.94121735,251925.40740500,1188,10.40491500,1.57374994,421145.25716600,836,42.95919828,2.57883265,778108.14097600,608,423419.93097600,1226190.18368600,18229292.72649720,32.79020170,140000.31009327,0.00000000,0.00000000,0.00000000,83.66609531
0xf1d47e8f07810fbb060e25cc98ad94909abc1c96,,,0.00000000,1004,,,0.00000000,1171,,,0.00000000,843,,,0.00000000,627,-1.02797913,-0.06547840,-5459.34047500,1004,7.60716820,0.59107660,50409.10094100,1171,12.29200846,1.11807384,112427.10751100,842,36.21691682,1.48367690,166364.62080900,628,260700.05080900,533400.23514100,4530717.07682729,22.81510961,48563.05853808,627.00000000,0.00000000,0.00000000,49.27629173
0x25e3a56da49a802e6823a54c83fdfe6c09e76165,6.10524125,1.27481403,26656.93730700,1006,11.65925517,1.90604525,31281.29916400,1183,7.35099583,2.33832337,30244.25271900,906,2.48505906,0.76178378,15185.27000000,615,21.03413212,1.39310943,28897.32825300,1006,41.48197413,3.18629550,49058.75768500,1180,-1.18494378,-0.18522704,-18355.42233400,903,42.98699337,4.91703360,242370.11138400,617,0.90138400,276812.33362500,84641.02711532,11.10562764,3230.97479641,37096.72641570,9.31860890,1794.81164376,2408.10946290
